Candidate,Party,Criminal Cases,Education,Age,Total Assets,Constituency,Liabilities,Winner,Gender,Asset_Category
Vijayakumar,PPOI,0,Graduate Professional,51,4826336,Chennai Central,0,0,M,10L-1Cr
Viswanathan.E,MMKA,1,Post Graduate,48,50515000,Chennai Central,0,0,M,>1Cr
Yunis Khan.Ay,BSP,1,Null,34,70000,Chennai Central,0,0,M,<1L
Anandhu.K,LJP,0,Graduate Professional,38,1090000,Chennai North,0,0,M,10L-1Cr
Mohammed Abdullah,RPI(A),0,Null,40,560000,Chennai North,100000,0,M,1L-10L
Palanimoses. N,PKMK,0,Null,45,4240000,Chennai North,379000,0,M,10L-1Cr
Santhashrini J.O.R,BSP,0,Null,41,0,Chennai North,0,0,F,
Sathish Kumar. K.P,MMKA,0,Null,33,0,Chennai North,0,0,M,
Tamilisaisoundararajan,BJP,0,Null,47,0,Chennai North,0,0,F,
Yuvaraj. V,DMDK,1,Graduate,45,2647761,Chennai North,11322121,0,M,10L-1Cr
Rajendran C,ADMK,0,Graduate Professional,48,27966678,Chennai South,0,1,M,>1Cr
Bharathy R.S.,DMK,0,Graduate Professional,61,22576698,Chennai South,2186,0,M,>1Cr
Ganesan La,BJP,0,10th Pass,64,62871,Chennai South,0,0,M,<1L
Gopinath V,DMDK,0,Graduate Professional,36,30999000,Chennai South,0,0,M,>1Cr
Jayaraman S,SHS,0,5th Pass,37,667143,Chennai South,160419,0,M,1L-10L
Jyothi G.M.,PPOI,0,10th Pass,58,3349651,Chennai South,0,0,M,10L-1Cr
Mohanraj J,JJ,0,Graduate,57,19775251000,Chennai South,900000,0,M,>1Cr
Rajamanithar S.J.,PKMK,0,Post Graduate,47,45000,Chennai South,0,0,M,<1L
Ravindra Dass R,KDC,0,Graduate,29,162000,Chennai South,0,0,M,1L-10L
Sathiyaseelan M,LJP,0,10th Pass,56,409000,Chennai South,0,0,M,1L-10L
Venkataraman N.S.,DPK,0,Graduate,63,7564563,Chennai South,0,0,M,10L-1Cr
"Thirumaavalavan, Thol",VCK,2,Post Graduate,46,2347700,Chidambaram,881000,0,M,10L-1Cr
"Ponnuswamy,E",PMK,0,Post Graduate,72,875000,Chidambaram,0,0,M,1L-10L
"Rajendiran, N.R",BSP,0,10th Pass,52,2500,Chidambaram,0,0,M,<1L
"Sasikumar, S",DMDK,1,Graduate,32,695540,Chidambaram,0,0,M,1L-10L
"Selvakumar, C",RKSP,0,Others,31,1000,Chidambaram,0,0,M,<1L
Natarajan.P.R.,CPM,0,Graduate,59,1767722,Coimbatore,0,1,M,10L-1Cr
Eswaran E R,KNMK,0,Null,48,0,Coimbatore,0,0,M,
Kathirmani P,SP,0,8th Pass,36,15000,Coimbatore,0,0,M,<1L
Pandian R,DMDK,1,Post Graduate,52,32834632,Coimbatore,9002000,0,M,>1Cr
Prabhu.R,INC,0,Post Graduate,61,221697347,Coimbatore,0,0,M,>1Cr
Rajan S K,PPOI,0,Graduate,60,4711280,Coimbatore,0,0,M,10L-1Cr
Ramasubramanian.K,BSP,0,Graduate,41,555571,Coimbatore,238325,0,M,1L-10L
Selvakumar.G.K.S,BJP,0,Post Graduate,47,32276267,Coimbatore,2690000,0,M,>1Cr
Selvam M,SHS,0,Illiterate,51,15000,Coimbatore,0,0,M,<1L
Stephen Ganeshan S,Akhila India Jananayaka Makkal Katchi (Dr. Is,0,Graduate,45,0,Coimbatore,0,0,M,
Alagiri S,INC,0,Graduate,56,11866846,Cuddalore,78136525,1,M,>1Cr
Arokiyadoss C,BSP,0,Others,60,475000,Cuddalore,0,0,M,1L-10L
Damotharan M C,DMDK,0,Graduate Professional,57,3032500,Cuddalore,270980,0,M,10L-1Cr
