Candidate,Party,Criminal Cases,Education,Age,Total Assets,Constituency,Liabilities,Winner,Gender,Asset_Category
Rajesh,JPS,0,10th Pass,40,125000,Ballia,0,0,M,1L-10L
Ram Sakal,SBSP,0,8th Pass,48,1740000,Ballia,0,0,M,10L-1Cr
Sangram Singh Yadav,BSP,0,Graduate Professional,48,3331361,Ballia,1810116,0,M,10L-1Cr
R. K. Singh Patel,SP,1,Graduate,49,34107955,Banda,0,0,M,>1Cr
Amita Bajpai,BJP,0,Post Graduate,39,8592000,Banda,300000,0,F,10L-1Cr
Anand Yadav,UCPI,0,Graduate Professional,45,1280000,Banda,0,0,M,10L-1Cr
Ashok Kumar,IJP,1,Graduate Professional,40,6700000,Banda,226000,0,M,10L-1Cr
Bhagawan Deen Garg,INC,0,Post Graduate,47,2255459,Banda,1173466,0,M,10L-1Cr
Bhairon Prasad Mishra,BSP,1,12th Pass,55,5665128,Banda,0,0,M,10L-1Cr
Lalit Kumar,Ambedkar Samaj Party,0,12th Pass,37,1520000,Banda,355000,0,M,10L-1Cr
Parashu Ram Nishad,AD,0,Graduate Professional,45,3350000,Banda,250000,0,M,10L-1Cr
Santosh Kumar,CPI,0,8th Pass,54,1125000,Banda,0,0,M,10L-1Cr
Chandrika,RJPK,0,Post Graduate,29,228000,Bansgaon,0,0,M,1L-10L
Harilal,BUM,1,8th Pass,32,113000,Bansgaon,0,0,M,1L-10L
Maha Beer Prasad,INC,1,Post Graduate,66,11323938,Bansgaon,700000,0,M,>1Cr
Ram Pravesh Prasad,EKSP,0,8th Pass,37,220000,Bansgaon,0,0,M,1L-10L
Rama Shanker,PECP,0,10th Pass,37,35000,Bansgaon,0,0,M,<1L
Sharada Devi,SP,1,Null,59,6043133,Bansgaon,0,0,M,10L-1Cr
Shree Nath Ji,BSP,0,Post Graduate,58,5335779,Bansgaon,700000,0,M,10L-1Cr
P.L.Punia,INC,0,Doctorate,64,14047833,Barabanki,995370,1,M,>1Cr
Babadeen,BRPP,0,5th Pass,49,1120000,Barabanki,0,0,M,10L-1Cr
Bhagauti,AD,0,5th Pass,54,100,Barabanki,0,0,M,<1L
Deshraj,BSRD,0,10th Pass,49,27000,Barabanki,0,0,M,<1L
Jeevan,JPS,0,12th Pass,26,511300,Barabanki,0,0,M,1L-10L
Kamala Prasad Rawat,BSP,0,Graduate,47,18931099,Barabanki,1499491,0,M,>1Cr
Ram Naresh Rawat,BJP,0,Post Graduate,44,13721443,Barabanki,0,0,M,>1Cr
Ram Sagar,SP,0,10th Pass,62,4195352,Barabanki,76795,0,M,10L-1Cr
Santram,NBNP,0,8th Pass,40,810000,Barabanki,0,0,M,1L-10L
Praveen Singh Aron,INC,1,Graduate Professional,50,288019293,Bareilly,32622036,0,M,>1Cr
Bhagwat Saran Gangwar,SP,2,12th Pass,54,7999303,Bareilly,148000,0,M,10L-1Cr
Islam Sabir Ansari,BSP,5,12th Pass,54,51198113,Bareilly,1000000,0,M,>1Cr
Laiq Ahmad,AD,0,Illiterate,43,140000,Bareilly,16000,0,M,1L-10L
Nadeem Iqbal,MADP,1,12th Pass,35,90000,Bareilly,0,0,M,<1L
Santosh Gangwar,BJP,0,Post Graduate,59,11433609,Bareilly,4358,0,M,>1Cr
Arvind Kumar Chaudhary,BSP,0,12th Pass,43,18643936,Basti,0,1,M,>1Cr
Basant Chaudhary,INC,1,Null,43,6415000,Basti,12600000,0,M,10L-1Cr
Dalbag Singh,BSP(K),0,10th Pass,50,3155000,Basti,0,0,M,10L-1Cr
Dayashankar Patwa,PECP,0,Literate,57,341801251,Basti,0,0,M,>1Cr
Dr. Y. D. Singh,BJP,0,Post Graduate,64,28509688,Basti,388378,0,M,>1Cr
Om Prakash,VAJP,0,12th Pass,40,295000,Basti,0,0,M,1L-10L
Raj Kishor Singh,SP,1,Graduate,38,8563689,Basti,544163,0,M,10L-1Cr
Ram Nayan Patel,AD,0,12th Pass,49,1765000,Basti,0,0,M,10L-1Cr
Sanjeev Kumar Nishad,BUM,0,8th Pass,27,3400,Basti,0,0,M,<1L
Shivdas,Shoshit Samaj Dal,0,12th Pass,50,915500,Basti,0,0,M,1L-10L
Sitaram Nishad,JPS,0,Null,63,121000,Basti,0,0,M,1L-10L
Vinod Kumar Rajbhar,SBSP,0,12th Pass,33,41504,Basti,0,0,M,<1L
Gorakhnath,BSP,0,Post Graduate,56,10158748,Bhadohi,433968,1,M,>1Cr
Chhotelal Bind,SP,1,Null,53,4294320,Bhadohi,200000,0,M,10L-1Cr
Dr. Akhilesh Kumar Dwivedi,NCP,0,Doctorate,41,10000,Bhadohi,0,0,M,<1L
Dr. Mahendra Nath Pandey,BJP,0,Doctorate,52,7982422,Bhadohi,0,0,M,10L-1Cr
Jaj Lal,RKSP,0,8th Pass,47,566024,Bhadohi,0,0,M,1L-10L
Nandlal,VP,0,Literate,56,6965,Bhadohi,0,0,M,<1L
Ramratee Bind,AD,2,Post Graduate,74,7057567,Bhadohi,23227,0,M,10L-1Cr
Shahid,PMSP,0,Post Graduate,42,672066,Bhadohi,0,0,M,1L-10L
Surymani Tiwari,INC,0,Graduate,60,25936355,Bhadohi,24391,0,M,>1Cr
Thakur Santosh Kumar,RDMP,0,Null,27,160000,Bhadohi,0,0,M,1L-10L
Sanjay Singh Chauhan,RLD,0,Graduate Professional,48,35352625,Bijnor,5254245,1,M,>1Cr
Abdul Basit,KKJHS,0,Graduate,64,1092325,Bijnor,0,0,M,10L-1Cr
Dr. Yashvir Singh,SP,0,Doctorate,62,188835577,Bijnor,0,0,M,>1Cr
Kartar Singh Bhadana,NCP,1,10th Pass,59,140362327,Bijnor,0,0,M,>1Cr
Mohd. Afshar,Ambedkar Samaj Party,0,8th Pass,33,614155,Bijnor,0,0,M,1L-10L
Paras Ram,VAJP,0,8th Pass,46,6805000,Bijnor,386000,0,M,10L-1Cr
Sagir Ahmad,NLHP,4,Literate,51,171000,Bijnor,55825,0,M,1L-10L
Saiduzzaman,INC,1,Post Graduate,67,12685348,Bijnor,2315000,0,M,>1Cr
Salesh Kumar Alias Sadhawi Sarlesh Giri,MKUP,0,8th Pass,41,9055000,Bijnor,0,0,F,10L-1Cr
Shahid Siddiqui,BSP,0,Post Graduate,58,27305316,Bijnor,53074,0,M,>1Cr
Surendra Singh,IJP,0,Post Graduate,49,95000,Bijnor,0,0,M,<1L
Suresh Chand,RMSP,0,8th Pass,44,715000,Bijnor,0,0,M,1L-10L
Kamlesh,SP,0,5th Pass,43,844005,Bulandshahr,0,1,M,1L-10L
Ashok Kumar Pradhan,BJP,0,12th Pass,53,25263357,Bulandshahr,0,0,M,>1Cr
Balram,ABHM,0,12th Pass,43,1889000,Bulandshahr,0,0,M,10L-1Cr
Devi Dayal,INC,0,Post Graduate,66,22337000,Bulandshahr,302557,0,M,>1Cr
Jay Bhagwan,NBNP,0,10th Pass,35,55000,Bulandshahr,0,0,M,<1L
Kanti,Akhil Bharatiya Rajarya Sabha,0,10th Pass,54,200000,Bulandshahr,0,0,F,1L-10L
Karan Singh Bhoochal,RMEP,0,12th Pass,56,1975000,Bulandshahr,0,0,M,10L-1Cr
Raghuraj Singh,RTKP,0,8th Pass,45,701000,Bulandshahr,0,0,M,1L-10L
Raj Kumar Gautam,BSP,0,Graduate Professional,36,1339528,Bulandshahr,0,0,M,10L-1Cr
Rajo,NELU,0,Others,31,13476485,Bulandshahr,300000,0,F,>1Cr
Sohan Pal,NLHP,0,Literate,45,50000,Bulandshahr,0,0,M,<1L
Sudha Singh,RPI,0,Graduate,37,2653500,Bulandshahr,0,0,F,10L-1Cr
Surajmukhi Gautam,UNLP,0,Illiterate,38,282000,Bulandshahr,0,0,F,1L-10L
Sushila Singh,RDMP,0,Graduate Professional,60,902000,Bulandshahr,0,0,F,1L-10L
Ramkishun,SP,10,Graduate Professional,51,4672785,Chandauli,0,0,M,10L-1Cr
Chandrashekhar,RPI,0,Illiterate,34,320000,Chandauli,0,0,M,1L-10L
Jawahar Lal Jaiswal,BJP,5,8th Pass,51,338538317,Chandauli,20411270,0,M,>1Cr
Jawahir,PMSP,44,Literate,48,90000,Chandauli,0,0,M,<1L
Jokhu,PDF,0,10th Pass,45,1026043,Chandauli,200000,0,M,10L-1Cr
Kailash Nath Singh Yadav,BSP,2,Graduate,46,36904540,Chandauli,194190,0,M,>1Cr
Lallan,IJP,0,Post Graduate,49,1636300,Chandauli,261000,0,M,10L-1Cr
Rajesh Singh,KKJHS,0,Literate,27,300000,Chandauli,60000,0,M,1L-10L
Rajnath,BRP,0,5th Pass,35,184500,Chandauli,0,0,M,1L-10L
Ramawatar Sharma Advocate,MAP,0,Illiterate,38,2627028,Chandauli,0,0,M,10L-1Cr
Ramsewak Yadav,RLP,0,8th Pass,46,156000,Chandauli,0,0,M,1L-10L
Shailendra Kumar,INC,2,Post Graduate,40,8821000,Chandauli,6800000,0,M,10L-1Cr
Surendra Pratap,JBSP,0,10th Pass,36,1072615,Chandauli,0,0,M,10L-1Cr
Tulasi,SBSP,2,10th Pass,42,45386052,Chandauli,11374668,0,M,>1Cr
Gorakh Prasad Jaiswal,BSP,0,10th Pass,72,24217040,Deoria,0,1,M,>1Cr
Baleshwar Yadav,INC,2,Graduate,55,7509000,Deoria,0,0,M,10L-1Cr
Dharmendra Kumar,SBSP,1,10th Pass,33,25000,Deoria,0,0,M,<1L
Ganga Prasad Kushwaha,PRBD,0,10th Pass,70,1258589,Deoria,0,0,M,10L-1Cr
Jagdish Kumar Verma,LSP,0,Post Graduate,36,1376000,Deoria,0,0,M,10L-1Cr
Mohan Singh,SP,0,Graduate,58,3803000,Deoria,0,0,M,10L-1Cr
Moti Lal Kushwaha Shastri,RSMD,0,Graduate,59,27611738,Deoria,270590,0,M,>1Cr
Safayat Ali,PECP,0,Post Graduate,51,3170000,Deoria,0,0,M,10L-1Cr
Sarita,Ambedkar Samaj Party,0,12th Pass,27,530000,Deoria,0,0,F,1L-10L
Shri Prakash Mani Tripathi,BJP,0,Post Graduate,64,12432443,Deoria,0,0,M,>1Cr
Kunwar Jitin Prasad,INC,0,Post Graduate,36,32656975,Dhaurahra,0,1,M,>1Cr
Arjun Lal,CPI(ML)(L),0,Graduate,45,57500,Dhaurahra,0,0,M,<1L
Raghvendra Singh,BJP,0,Graduate Professional,58,27648127,Dhaurahra,1767405,0,M,>1Cr
Rajesh,NCP,0,8th Pass,44,861443,Dhaurahra,0,0,M,1L-10L
Rajesh Kumar Singh Alias Rajesh Verma,BSP,0,Post Graduate,49,5393555,Dhaurahra,378721,0,M,10L-1Cr
Sushila,AD,0,5th Pass,47,1307711,Dhaurahra,0,0,F,10L-1Cr
Swami Dayal Gaur,RTKP,0,Others,53,1287616,Dhaurahra,0,0,M,10L-1Cr
Jagdambika Pal,INC,1,Post Graduate,59,49720730,Domariyaganj,4566564,0,M,>1Cr
Balkrishna,BSP(K),0,12th Pass,39,62605,Domariyaganj,0,0,M,<1L
Harishankar,LJP,0,Graduate,45,3285000,Domariyaganj,0,0,M,10L-1Cr
Inamullah Chaudhary,PECP,0,Null,66,11695000,Domariyaganj,629335,0,M,>1Cr
Jitendra Pratap Singh,RDMP,0,Graduate Professional,46,380000,Domariyaganj,0,0,M,1L-10L
Mata Prasad Pandey,SP,0,Post Graduate,72,6516785,Domariyaganj,866000,0,M,10L-1Cr
Mohd. Muqueem,BSP,0,Literate,59,17150000,Domariyaganj,58130,0,M,>1Cr
Mukhdev,SBSP,0,Null,41,375000,Domariyaganj,0,0,M,1L-10L
Pingal Prasad,RPI,0,12th Pass,41,10000,Domariyaganj,0,0,M,<1L
Rahul Sangh Priya Bharti,IJP,0,Null,36,900000,Domariyaganj,1000000,0,M,1L-10L
Rajdev,BEP,0,5th Pass,35,100000,Domariyaganj,0,0,M,<1L
Ram Samujh,BJBCD,0,Null,41,170000,Domariyaganj,370000,0,M,1L-10L
Dr. Mahadeepak Singh Shakya,INC,0,Post Graduate,84,9213000,Etah,0,0,M,10L-1Cr
Dr. Shyam Singh Shakya,BJP,0,Post Graduate,49,15593814,Etah,524092,0,M,>1Cr
Indra Pal,RSUPRP,0,Null,46,337500,Etah,0,0,M,1L-10L
Kunwar Devendra Singh Yadav,BSP,2,Doctorate,60,208759178,Etah,22400000,0,M,>1Cr
Munabbar Husain,NLHP,1,Null,55,8872190,Etah,0,0,M,10L-1Cr
Rajveer Singh,VAJP,0,Literate,46,4254874,Etah,0,0,M,10L-1Cr
Rishipal,BRPP,0,Null,46,1365596,Etah,0,0,M,10L-1Cr
Sandeep,RPI(A),0,Graduate,48,12052000,Etah,0,0,M,>1Cr
Shabbir,NELU,0,8th Pass,50,2245000,Etah,200000,0,M,10L-1Cr
Premdas,SP,1,Graduate,49,4228828,Etawah,0,0,M,10L-1Cr
Gaurishanker,BSP,0,Post Graduate,63,12280096,Etawah,2977140,0,M,>1Cr
Kamlesh Verma,BJP,0,Graduate,40,23646611,Etawah,0,0,F,>1Cr
Sant Kumar,Lok Dal,1,Post Graduate,28,21400,Etawah,0,0,M,<1L
Siyaram,RBCP,0,10th Pass,55,1431000,Etawah,0,0,M,10L-1Cr
`Shiv Ram,Mahan Dal,0,Post Graduate,68,8501364,Etawah,250000,0,M,10L-1Cr
Nirmal Khatri,INC,0,Doctorate,58,6670000,Faizabad,5771,1,M,10L-1Cr
Ajay Kumar,KKJHS,0,12th Pass,25,540000,Faizabad,0,0,M,1L-10L
Amar Nath Jaiswal,RTKP,0,Graduate,44,3286769,Faizabad,516000,0,M,10L-1Cr
Atul Kumar Pandey,THPI,0,Post Graduate,39,5083500,Faizabad,2600000,0,M,10L-1Cr
"Bimlendra Mohan Pratap Misra ""Pappu Bhaiya""",BSP,0,Graduate Professional,48,108161987,Faizabad,244150,0,M,>1Cr
Chandrashekhar Singh,BPD,0,Post Graduate,36,801685,Faizabad,402960,0,M,1L-10L
Girish Chandra Verma,AD,0,Graduate,32,3031000,Faizabad,1507828,0,M,10L-1Cr
Gulam Sabir,NBNP,0,5th Pass,42,1864000,Faizabad,1000000,0,M,10L-1Cr
Lallu Singh,BJP,1,Post Graduate,54,7849185,Faizabad,1722016,0,M,10L-1Cr
Manish Kumar Pandey,ABHM,0,Post Graduate,35,32500,Faizabad,0,0,M,<1L
Mitrasen,SP,19,12th Pass,76,7788600,Faizabad,641660,0,M,10L-1Cr
Nusrat Quddusi Alias Babloo,PECP,0,Null,41,2459500,Faizabad,150000,0,M,10L-1Cr
Ramesh Kumar Rawat,MADP,0,8th Pass,42,322000,Faizabad,80000,0,M,1L-10L
Saiyyad Musheer Ahmed,Awami Party,0,12th Pass,55,3720000,Faizabad,0,0,M,10L-1Cr
Sushil Kumar,BLKD,0,12th Pass,45,360000,Faizabad,50000,0,M,1L-10L
Salman Khursheed,INC,0,Post Graduate,56,26140421,Farrukhabad,4765556,1,M,>1Cr
Chandra Bhusan Singh,SP,0,Post Graduate,65,18576589,Farrukhabad,330198,0,M,>1Cr
Dalganjan Singh Yadav,BRM,4,8th Pass,73,1026800,Farrukhabad,200000,0,M,10L-1Cr
Jaiveer Singh Shakya,BRPP,0,Graduate Professional,31,258000,Farrukhabad,0,0,M,1L-10L
Mithalesh Kumari,BJP,0,Post Graduate,54,104018017,Farrukhabad,0,0,F,>1Cr
Om Babu,JPS,0,Post Graduate,57,810000,Farrukhabad,0,0,M,1L-10L
Ram Sharan,BNRP,0,12th Pass,62,105000,Farrukhabad,0,0,M,1L-10L
Rishi Dutt,ABHM,1,8th Pass,36,1110000,Farrukhabad,40000,0,M,10L-1Cr
Subodh,AD,0,Null,40,522500,Farrukhabad,0,0,M,1L-10L
Swami Sachidanand Hari Sakshi,RTKP,3,Doctorate,53,7148676,Farrukhabad,0,0,M,10L-1Cr
Wazid Ali,IJP,0,Null,40,585700,Farrukhabad,0,0,M,1L-10L
Rakesh Sachan,SP,7,Post Graduate,53,40955595,Fatehpur,0,0,M,>1Cr
Ajeya Singh,JM,0,Graduate Professional,52,269451168,Fatehpur,0,0,M,>1Cr
Dr. Soney Lal Patel,AD,0,Doctorate,59,43402982,Fatehpur,17570,0,M,>1Cr
Jageshwar Pal,NCP,0,12th Pass,58,2332112,Fatehpur,0,0,M,10L-1Cr
Mahendra Prasad Nishad,BSP,0,Graduate,37,5423876,Fatehpur,252952,0,M,10L-1Cr
Matin,ANC,0,8th Pass,42,265408,Fatehpur,0,0,M,1L-10L
Munna Singh,KKJHS,0,10th Pass,34,1740000,Fatehpur,0,0,M,10L-1Cr
Radhey Shyam Gupta,BJP,1,Graduate,69,26206580,Fatehpur,0,0,M,>1Cr
Raees,PECP,0,Null,33,75000,Fatehpur,0,0,M,<1L
Udit Raj,IJP,0,Doctorate,51,16443257,Fatehpur,131342,0,M,>1Cr
Vibhakar Shastri,INC,0,Graduate,44,6223727,Fatehpur,0,0,M,10L-1Cr
Vishwaswaroop Maurya,Akhil Bharatiya Ashok Sena,0,12th Pass,57,580000,Fatehpur,0,0,M,1L-10L
Seema Upadhayay,BSP,0,Graduate,44,26545096,Fatehpur Sikri,1595708,1,F,>1Cr
Raghuraj Singh Shakya,SP,0,Post Graduate,40,9434570,Fatehpur Sikri,2102794,0,M,10L-1Cr
Raj Babbar,INC,2,Graduate,58,109563378,Fatehpur Sikri,16759338,0,M,>1Cr
Raja Mahendra Aridaman Singh,BJP,0,Post Graduate,52,51198247,Fatehpur Sikri,0,0,M,>1Cr
Samarvir,RWS,0,12th Pass,36,195000,Fatehpur Sikri,0,0,M,1L-10L
Vijay Pal,JPS,0,Literate,31,1690000,Fatehpur Sikri,0,0,M,10L-1Cr
Akhilesh Yadav,SP,0,Graduate Professional,35,44409557,Firozabad,7726354,1,M,>1Cr
Abhaypratap Singh,JBSP,0,Post Graduate,32,202000,Firozabad,0,0,M,1L-10L
Anil Kumar Srivastawa@Akela,JPS,0,Graduate Professional,26,737020,Firozabad,0,0,M,1L-10L
Dalvir,RPI(A),0,10th Pass,39,266000,Firozabad,0,0,M,1L-10L
Prof. S.P. Singh Baghel,BSP,2,Doctorate,48,18281086,Firozabad,2667516,0,M,>1Cr
Raghuvar Dayal Verma,BJP,0,Post Graduate,70,12538066,Firozabad,0,0,M,>1Cr
Rahat Afroz,MUL,0,10th Pass,47,1385000,Firozabad,500,0,M,10L-1Cr
Rajendrapal,INC,0,Graduate,50,1789000,Firozabad,175000,0,M,10L-1Cr
Rajjo Devi,CPM,7,5th Pass,56,5801260,Firozabad,0,0,M,10L-1Cr
Rajvir Singh,RSMD,1,Null,52,2412055,Firozabad,259938,0,M,10L-1Cr
Sunita Devi,MADP,0,5th Pass,31,1038200,Firozabad,45000,0,F,10L-1Cr
Raj Babbar,INC,2,Graduate,58,117051305,Firozabad (Bye-election on 7-11-2009),16646383,0,M,>1Cr
Surendra Singh Nagar,BSP,2,Graduate,44,492084300,Gautam Budhha Nagar,0,0,M,>1Cr
Arvind,ANC,0,Graduate,35,11010000,Gautam Budhha Nagar,0,0,M,>1Cr
Chote Lal,RYS,0,10th Pass,48,8683748,Gautam Budhha Nagar,0,0,M,10L-1Cr
Dr Jamal Ahamad Khan,NLHP,1,Post Graduate,62,101186607,Gautam Budhha Nagar,2514343,0,M,>1Cr
Ghanshyam Sharma,RWS,0,8th Pass,34,16280000,Gautam Budhha Nagar,515000,0,M,>1Cr
K.K Sharma,NCP,0,Graduate Professional,50,513000,Gautam Budhha Nagar,250000,0,M,1L-10L
Lubna Ashif,All India Minorities Front,0,Post Graduate,25,308000,Gautam Budhha Nagar,0,0,F,1L-10L
Mahesh Kumar Sharma,BJP,1,Graduate Professional,48,158575632,Gautam Budhha Nagar,20953174,0,M,>1Cr
Narendra Singh Bhatti,SP,1,12th Pass,50,21545679,Gautam Budhha Nagar,0,0,M,>1Cr
Poonam,BSP(K),0,Graduate,31,55540,Gautam Budhha Nagar,0,0,F,<1L
Prem Singh,RPI,0,5th Pass,44,5510000,Gautam Budhha Nagar,0,0,M,10L-1Cr
Rahis,NELU,0,Illiterate,50,4979000,Gautam Budhha Nagar,0,0,M,10L-1Cr
Ramesh Chand Tomar,INC,4,Post Graduate,59,33566195,Gautam Budhha Nagar,500000,0,M,>1Cr
Sher Singh,Awami Party,0,8th Pass,41,475800,Gautam Budhha Nagar,0,0,M,1L-10L
Rajnath Singh,BJP,1,Post Graduate,57,14902703,Ghaziabad,0,0,M,>1Cr
Anwar Ahmed,NBNP,1,Null,61,320673000,Ghaziabad,0,0,M,>1Cr
Azij Khan,IJP,0,10th Pass,43,1680000,Ghaziabad,200000,0,M,10L-1Cr
Hari Shankar Sharma,BPD,0,Doctorate,63,16964367,Ghaziabad,2248599,0,M,>1Cr
Iqbal,NLHP,1,Literate,50,6899177,Ghaziabad,0,0,M,10L-1Cr
K.Z. Bukhari,NELU,0,Graduate,63,1390000,Ghaziabad,0,0,M,10L-1Cr
Pt. Amar Pal Sharma,BSP,0,12th Pass,40,69342885,Ghaziabad,1240482,0,M,>1Cr
Sanjay Sharma,ABHM,5,Null,30,308011,Ghaziabad,500000,0,M,1L-10L
Radhey Mohan Singh,SP,1,Graduate,43,22062609,Ghazipur,1752447,0,M,>1Cr
Afzal Ansari,BSP,3,Post Graduate,55,45844836,Ghazipur,0,0,M,>1Cr
Dinesh,RSMD,0,8th Pass,42,1212000,Ghazipur,33000,0,M,10L-1Cr
Ishwari Prasad Kushawaha,CPI(ML)(L),1,Graduate,48,933000,Ghazipur,0,0,M,1L-10L
Nandlal,Ambedkar Samaj Party,0,12th Pass,67,164000,Ghazipur,0,0,M,1L-10L
Prabhunath,BJP,1,10th Pass,48,1347938,Ghazipur,328261,0,M,10L-1Cr
Saraju,Lok Dal,0,Post Graduate,67,1807000,Ghazipur,0,0,M,10L-1Cr
Satish Shankar Jaisawal,National Loktantrik Party,0,12th Pass,28,7000,Ghazipur,0,0,M,<1L
Shyam Narayan,RASD,0,Post Graduate,54,1282500,Ghazipur,9000,0,M,10L-1Cr
Suraj Ram Bagi,CPI,0,Graduate,52,1018723,Ghazipur,0,0,M,10L-1Cr
Surendra,JPS,0,Literate,43,450000,Ghazipur,0,0,M,1L-10L
Dara Singh Chauhan,BSP,2,10th Pass,50,2044115,Ghosi,927848,0,M,10L-1Cr
Akhilesh,JPS,0,12th Pass,43,231000,Ghosi,0,0,M,1L-10L
Arshad Jamal Ansari,SP,0,Post Graduate,43,2465633,Ghosi,0,0,M,10L-1Cr
Atul Kumar Singh Anjan,CPI,0,Post Graduate,55,4026760,Ghosi,3153,0,M,10L-1Cr
Harish Chandra,RJPK,0,Post Graduate,62,13400386,Ghosi,1491564,0,M,>1Cr
Kailash Yadav,PECP,2,10th Pass,46,2373122,Ghosi,200000,0,M,10L-1Cr
Lalji Rajbhar,BSD,0,12th Pass,44,1580000,Ghosi,0,0,M,10L-1Cr
Ram Badan Kaul,BSA,1,Graduate,60,1000000,Ghosi,0,0,M,1L-10L
Ram Iqbal,BJP,3,Post Graduate,49,4028821,Ghosi,0,0,M,10L-1Cr
Ramesh Alias Raju Singh,SBSP,0,12th Pass,41,3500000,Ghosi,642000,0,M,10L-1Cr
Sudha Rai,INC,0,Doctorate,54,10366720,Ghosi,477000,0,M,>1Cr
Beni Prasad Verma,INC,0,Graduate Professional,68,20183574,Gonda,80932,1,M,>1Cr
Ashiq Ali,PECP,0,8th Pass,46,6250000,Gonda,45853,0,M,10L-1Cr
Dr Achutananddube,NCP,0,Doctorate,64,259472,Gonda,115479,0,M,1L-10L
Harsh Vardhan Pandey,Lok Dal,0,Graduate,33,2191000,Gonda,500000,0,M,10L-1Cr
Kirti Vardhan Singh Raja Baiya,BSP,0,Post Graduate,43,20957984,Gonda,1050714,0,M,>1Cr
Om Prakash Singh,JPS,0,10th Pass,54,8890000,Gonda,800000,0,M,10L-1Cr
Prem Kumar,SBSP,0,Graduate,26,150000,Gonda,0,0,M,1L-10L
Rajendra Prasad1,ANC,0,Null,55,1335000,Gonda,0,0,M,10L-1Cr
Ram Kewal,VAJP,0,Literate,41,12700,Gonda,0,0,M,<1L
Ram Lochan,ABHM,0,Literate,46,64000,Gonda,0,0,M,<1L
Ram Pratap Singh,BJP,0,Graduate,58,18691075,Gonda,3711863,0,M,>1Cr
Vidya Sagar,AD,0,Graduate,36,641565,Gonda,0,0,M,1L-10L
Vinod Kumar Singh Alias Pandit Singh,SP,0,12th Pass,42,6057015,Gonda,0,0,M,10L-1Cr
Aditya Nath,BJP,2,Graduate,36,2182212,Gorakhpur,0,0,M,10L-1Cr
Aman,Ambedkar Samaj Party,0,Literate,35,1022380,Gorakhpur,280478,0,M,10L-1Cr
Daya Sankar Nishad,Awami Party,0,Post Graduate,38,200000,Gorakhpur,0,0,M,1L-10L
Jokhan Prasad,EKSP,0,Post Graduate,46,1001806,Gorakhpur,46000,0,M,10L-1Cr
Lal Chand Nishad,INC,0,Post Graduate,67,17574000,Gorakhpur,0,0,M,>1Cr
Manoj Tiwari,SP,0,Graduate Professional,38,50158691,Gorakhpur,3809444,0,M,>1Cr
Raj Bahadur,IJP,0,Post Graduate,28,145000,Gorakhpur,0,0,M,1L-10L
Raj Mani,BEP,0,Literate,46,20000,Gorakhpur,0,0,M,<1L
Rajesh Sahani,CPI(ML)(L),0,Post Graduate,44,0,Gorakhpur,0,0,M,
Shree Nath,SBSP,0,12th Pass,29,70000,Gorakhpur,0,0,M,<1L
Vijay Bahadur Singh,BSP,0,Graduate Professional,65,42956873,Hamirpur,623689,1,M,>1Cr
Amit Kumar,AD,0,12th Pass,28,3500,Hamirpur,0,0,M,<1L
Anil Kumar,Ambedkar Samaj Party,0,10th Pass,30,250000,Hamirpur,0,0,M,1L-10L
Girdharilal,NELU,0,Null,70,110000,Hamirpur,0,0,M,1L-10L
Hakeem Khan,BAP,0,8th Pass,56,1448000,Hamirpur,80000,0,M,10L-1Cr
Kanti,Lok Dal,0,Illiterate,43,65000,Hamirpur,0,0,F,<1L
Kapil Kumar,NLHP,0,Post Graduate,30,450000,Hamirpur,79000,0,M,1L-10L
"Preetam Singh Lodhi ""Kissan""",BJP,0,Post Graduate,39,6058800,Hamirpur,2000000,0,M,10L-1Cr
Shivprasad Prajapati,IJP,0,Graduate,33,327000,Hamirpur,0,0,M,1L-10L
Siddha Gopal Sahu,INC,0,Post Graduate,43,24894125,Hamirpur,0,0,M,>1Cr
Usha Verma,SP,0,Post Graduate,43,10111699,Hardoi,500000,1,F,>1Cr
Balakram,RJPK,0,8th Pass,48,1415000,Hardoi,0,0,M,10L-1Cr
Bhaiya Lal Alias Chaman Babu,RSMD,0,10th Pass,35,10000,Hardoi,0,0,M,<1L
Haribakhsh,NBNP,0,Literate,50,754000,Hardoi,0,0,M,1L-10L
Purnima Verma,BJP,0,Post Graduate,52,22001868,Hardoi,2169282,0,F,>1Cr
Ram Kumar Kuril,BSP,4,12th Pass,47,2044273,Hardoi,100000,0,M,10L-1Cr
Shantiswaroop,RPI,0,10th Pass,52,590000,Hardoi,0,0,M,1L-10L
Sarika Singh,RLD,0,Post Graduate,29,825272,Hathras,0,1,F,1L-10L
Anar Singh,SP,0,10th Pass,48,60240500,Hathras,20300000,0,M,>1Cr
Jaiprakash,RTKP,0,8th Pass,59,1735000,Hathras,0,0,M,10L-1Cr
Pradeep Chandel,INC,0,Null,31,1660000,Hathras,0,0,M,10L-1Cr
Pradeep Kumar,Ambedkar Samaj Party,0,Literate,38,622500,Hathras,0,0,M,1L-10L
Premlata,RPI(A),0,Literate,35,843500,Hathras,0,0,F,1L-10L
Rajendra Kumar,BSP,1,Graduate,43,2525000,Hathras,0,0,M,10L-1Cr
Suresh Babu,BSKPB,0,Graduate,35,338800,Hathras,0,0,M,1L-10L
Ghansyam Anuragi,SP,2,Post Graduate,35,6350833,Jalaun,0,0,M,10L-1Cr
